metric_item_label,metric_cat_label,metric_item_label_subtitle,metric_cat_item_yaxis_label,geo_label_city,geo_label_state,geo_fips_code,value,date_label,geo_label_proxy_or_real,value_95_ci_low,value_95_ci_high,geo_strata_region,geo_strata_poverty,geo_strata_Population,geo_strata_PopDensity,geo_strata_Segregation,strata_race_label,strata_sex_label,persons_or_years
4.0,3.0,4.0,1.0,23.0,1.0,653.0,0.0002803267783,2020.0,1.0,0.00021604523669999998,0.0003735845022,3.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0
9.0,4.0,0.0,1.0,11.0,20.0,4827.0,0.0001908063495,2012.0,1.0,0.0001366301399,0.0002623993021,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
7.0,0.0,7.0,1.0,4.0,4.0,1714.0,0.0013996479959999999,2016.0,1.0,0.0013452337729999999,0.001456282963,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
7.0,0.0,7.0,1.0,23.0,1.0,653.0,0.000812299067,2011.0,1.0,0.0005753069887000001,0.001120086424,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0
6.0,1.0,10.0,1.0,33.0,0.0,477.0,2.243229115e-05,2014.0,1.0,1.151636861e-05,3.999392575e-05,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0
3.0,0.0,3.0,1.0,12.0,20.0,4835.0,0.0002650587545,2018.0,1.0,0.0002521183415,0.0002785394225,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.0,1.0,10.0,1.0,3.0,12.0,3712.0,0.0001369496088,2016.0,1.0,0.0001007797595,0.0001866490478,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
12.0,4.0,11.0,1.0,16.0,1.0,643.0,7.504314715e-05,2014.0,1.0,4.210737622e-05,0.0001274989542,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5.0,4.0,5.0,1.0,17.0,1.0,644.0,0.00012954072439999998,2011.0,1.0,0.0001168069292,0.0001443753357,3.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0
14.0,1.0,9.0,1.0,6.0,15.0,3918.0,0.0002725810724,2011.0,1.0,0.00022851088310000002,0.000323130336,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0
7.0,0.0,7.0,1.0,14.0,11.0,2938.0,0.0012507898369999999,2018.0,1.0,0.001178171316,0.0013275695479999998,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
12.0,4.0,11.0,1.0,0.0,20.0,4805.0,9.422186825e-05,2018.0,1.0,7.368699224e-05,0.0001202450637,2.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0
14.0,1.0,9.0,1.0,26.0,0.0,455.0,0.0001555038688,2020.0,1.0,8.530011676999999e-05,0.0002683661894,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0
9.0,4.0,0.0,1.0,26.0,0.0,455.0,0.0005442265274,2016.0,1.0,0.000486523593,0.0006098680981,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0
3.0,0.0,3.0,1.0,12.0,20.0,4835.0,0.00016657505189999997,2016.0,1.0,0.000150116266,0.00018517493630000001,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
13.0,3.0,14.0,1.0,0.0,20.0,4805.0,3.250141457e-05,2015.0,1.0,2.029534856e-05,5.396149951e-05,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
10.0,0.0,8.0,1.0,22.0,14.0,3651.0,0.00011517644119999999,2020.0,1.0,0.00010272195699999999,0.0001288518232,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
0.0,0.0,2.0,2.0,26.0,0.0,455.0,17.07108973,2010.0,1.0,14.86886242,19.54460867,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
12.0,4.0,11.0,1.0,24.0,16.0,4055.0,0.0001633290688,2017.0,1.0,0.0001305145547,0.00020296405879999997,2.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0
14.0,1.0,9.0,1.0,2.0,7.0,2507.0,9.369228318e-05,2018.0,1.0,5.6863555349999996e-05,0.0001478041199,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,2404.0,0.0005409195418,2020.0,1.0,0.00044099098179999996,0.0006596007659,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0
5.0,4.0,5.0,1.0,14.0,11.0,2938.0,6.082435197e-05,2017.0,1.0,3.97325947e-05,9.029707948000001e-05,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0
14.0,1.0,9.0,1.0,25.0,18.0,4260.0,0.00011581590739999999,2019.0,1.0,9.799240075e-05,0.0001364230336,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
14.0,1.0,9.0,1.0,8.0,2.0,820.0,0.00013670449910000001,2017.0,1.0,0.00010506341859999999,0.00017525991730000002,3.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0
0.0,0.0,2.0,2.0,20.0,22.0,5553.0,19.96203515,2020.0,1.0,16.37058343,24.20309032,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
7.0,0.0,7.0,1.0,10.0,20.0,4824.0,0.002080306844,2020.0,1.0,0.001320293618,0.003185557086,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
11.0,2.0,13.0,1.0,1.0,8.0,2404.0,0.0003452442603,2019.0,1.0,0.0002108841634,0.0005332017591000001,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
3.0,0.0,3.0,1.0,11.0,20.0,4827.0,0.0004767618648,2016.0,1.0,0.0003725103822,0.0006076121508,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
10.0,0.0,8.0,1.0,20.0,22.0,5553.0,0.0004096463414,2019.0,1.0,0.0003664919923,0.00045697337840000003,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
6.0,1.0,10.0,1.0,6.0,15.0,3918.0,3.517084049e-05,2014.0,1.0,2.485113577e-05,4.9556657399999995e-05,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
